"","index","avsalary"
"559",2422,42783.8472836875
"560",263,NA
"561",3357,NA
"562",660,53728.9711646281
"563",425,53429.6219822961
"564",1620,49565.57350244
"565",1533,48648.1800712393
"566",3243,50315.331864933
"567",164,49320.5152278379
"568",1473,NA
"569",1455,NA
"570",615,60097.7788819445
"571",1746,51340.4669767
"572",1354,49729.9543939364
"573",320,52404.569126185
"574",165,49320.5152278379
"575",227,58942.310372105
"576",614,60097.7788819445
"577",437,52855.2784895024
"578",1747,51340.4669767
"579",13,57171.6457073602
"580",1564,49904.6732068396
"581",767,55209.6355738754
"582",121,47001.9475421067
"583",613,60097.7788819445
"584",440,52855.2784895024
"585",1472,NA
"586",1353,49729.9543939364
"587",766,55209.6355738754
"588",1074,54073.0625303908
"589",2210,NA
"590",1232,46345.3751165963
"591",3250,NA
"592",3124,NA
"593",2556,45191.6599761593
"594",3046,NA
"595",2714,NA
"596",27,NA
"597",551,NA
"598",311,NA
"599",2715,NA
"600",3406,NA
"601",3512,NA
"602",3405,NA
"603",2713,NA
"604",1405,50162.117795715
"605",2550,48775.9618408249
"606",2755,NA
"607",103,49770.8030820763
"608",2051,NA
"609",2024,NA
"610",2143,NA
"611",1671,NA
"612",550,49593.9707800653
"613",1770,45642.4216343573
"614",3123,52147.104624433
"615",341,57049.0318916891
"616",310,49440.8628078025
"617",1610,NA
"618",26,57278.0864011757
"619",1404,50072.865289561
"620",3314,NA
"621",2250,40028.323880425
"622",2251,40028.323880425
"623",143,NA
"624",2506,NA
"625",2614,49409.607091933
"626",2615,49409.607091933
"627",3224,NA
"628",2616,49409.607091933
"629",3113,54596.5959060768
"630",1403,51082.708909433
"631",353,61246.7421857849
"632",354,61246.7421857849
"633",3513,NA
"634",3277,NA
"635",370,48599.1955988537
"636",1133,46944.1400446022
"637",735,48719.3482770915
"638",3265,57879.951934896
"639",1165,NA
"640",2670,43934.2425353675
"641",2037,NA
"642",1122,NA
"643",3420,37213.98485325
"644",3422,37213.98485325
"645",473,48778.72553203
"646",3421,37213.98485325
"647",1220,52186.7081635768
"648",1064,NA
"649",2571,NA
"650",2322,NA
"651",2323,NA
"652",3026,NA
"653",3025,NA
"654",561,NA
"655",770,61018.8261364316
"656",472,48679.124689433
"657",3504,NA
"658",275,NA
"659",3214,NA
"660",3450,45082.7445576364
"661",3216,47538.50265085
"662",1607,NA
"663",545,49593.9707800653
"664",2174,47061.354168225
"665",23,57278.0864011757
"666",340,57049.0318916891
"667",1152,46251.06441359
"668",24,57278.0864011757
"669",307,49440.8628078025
"670",265,42897.3448353675
"671",22,57278.0864011757
"672",606,NA
"673",3004,NA
"674",130,49770.8030820763
"675",1656,NA
"676",2071,NA
"677",2114,NA
"678",1442,NA
"679",145,NA
"680",1500,NA
"681",1213,43691.8395576364
"682",557,39773.40129275
"683",2734,45350.1633938425
"684",2723,39993.9555397825
"685",1651,NA
"686",146,NA
"687",727,48719.3482770915
"688",314,47498.6727703415
"689",730,48719.3482770915
"690",3254,36929.3425
"691",2110,NA
"692",1067,49919.3183684001
"693",3073,44280.7767832825
"694",367,48599.1955988537
"695",1226,43691.8395576364
"696",1134,46944.1400446022
"697",1360,49419.5307305512
"698",2023,NA
"699",600,NA
"700",2551,NA
"701",114,42458.9693335
"702",1476,NA
"703",1654,NA
"704",2253,36577.92594225
"705",1717,NA
"706",1445,NA
"707",2047,NA
"708",610,NA
"709",2115,NA
"710",312,NA
"711",1324,45989.8617754908
"712",1652,NA
"713",1721,NA
"714",2563,43013.37797976
"715",2077,NA
"716",560,39773.40129275
"717",2562,43013.37797976
"718",1441,NA
"719",2564,43013.37797976
"720",2752,45350.1633938425
"721",1322,45989.8617754908
"722",2012,NA
"723",313,NA
"724",1700,41646.75283525
"725",1214,43691.8395576364
"726",1323,45989.8617754908
"727",1215,43691.8395576364
"728",142,NA
"729",1557,NA
"730",3147,NA
"731",2025,NA
"732",3076,NA
"733",3100,NA
"734",3077,NA
"735",1062,49716.5981810448
"736",2436,55428.784561971
"737",2435,55428.784561971
"738",2600,55587.2200292593
"739",2577,55587.2200292593
"740",743,NA
"741",364,64670.8177123337
"742",3275,NA
"743",3500,NA
"744",555,43161.9562437725
"745",554,43161.9562437725
"746",3433,41315.5271839
"747",3200,41726.175275
"748",1373,NA
"749",2256,NA
"750",2255,NA
"751",214,47924.4162945785
"752",3343,37847.6925
"753",3342,37847.6925
"754",2555,NA
"755",1242,NA
"756",1243,NA
"757",417,53429.6219822961
"758",623,NA
"759",2007,NA
"760",506,43776.63015085
"761",1321,49419.5307305512
"762",336,48599.1955988537
"763",1125,46944.1400446022
"764",2171,43968.9843421067
"765",306,47498.6727703415
"766",4,53721.3887392914
"767",2557,45191.6599761593
"768",3011,NA
"769",2634,43013.37797976
"770",3417,37213.98485325
"771",3053,38741.195
"772",3416,37213.98485325
"773",2452,NA
"774",2725,39993.9555397825
"775",2735,45350.1633938425
"776",2724,39993.9555397825
"777",1437,NA
"778",1435,NA
"779",1604,NA
"780",1436,NA
"781",1433,NA
"782",1606,49904.6732068396
"783",1440,NA
"784",3507,NA
"785",1605,NA
"786",1423,NA
"787",1432,NA
"788",2704,NA
"789",2705,NA
"790",2227,NA
"791",2266,NA
"792",1713,40028.32297
"793",3136,42155.4613
"794",1666,47199.37765085
"795",1470,NA
"796",2001,NA
"797",1450,NA
"798",1667,47199.37765085
"799",2044,NA
"800",1643,42645.592775
"801",2015,NA
"802",576,NA
"803",110,49770.8030820763
"804",2105,NA
"805",477,NA
"806",552,43161.9562437725
"807",553,43161.9562437725
"808",1172,47211.4742204257
"809",3447,NA
"810",1013,57860.3800901178
"811",1003,62682.3096867685
"812",244,63510.3389527034
"813",3106,NA
"814",2655,42622.4581996903
"815",1412,52740.981025731
"816",2447,47057.216473225
"817",342,NA
"818",3120,NA
"819",331,53715.5222097872
"820",1063,NA
"821",1240,NA
"822",2362,NA
"823",2657,36322.0975
"824",2237,NA
"825",737,53117.148442221
"826",154,NA
"827",3462,NA
"828",470,NA
"829",736,53117.148442221
"830",2177,NA
"831",3005,NA
"832",1760,NA
"833",1203,46488.83765085
"834",2541,NA
"835",3400,42800.9021839
"836",65,63345.5585193562
"837",1111,NA
"838",2063,NA
"839",1256,41553.1054461875
"840",1204,46488.83765085
"841",2764,NA
"842",1255,41553.1054461875
"843",1061,47152.16926725
"844",3377,42800.9021839
"845",2576,49409.607091933
"846",2240,NA
"847",536,44148.01344
"848",2433,51617.666799433
"849",3156,NA
"850",3064,47162.0894421067
"851",2317,46632.0895541639
"852",2320,46632.0895541639
"853",2321,46632.0895541639
"854",1603,NA
"855",363,61246.7421857849
"856",1026,45325.6322222
"857",471,49706.6522769325
"858",2204,55506.1957028157
"859",3402,38741.195
"860",3401,38741.195
"861",3217,47538.50265085
"862",1376,53814.0036389229
"863",3271,NA
"864",563,NA
"865",2667,NA
"866",104,49770.8030820763
"867",1550,NA
"868",3341,NA
"869",3340,NA
"870",2370,42783.8472836875
"871",2371,42783.8472836875
"872",3326,NA
"873",625,NA
"874",626,NA
"875",52,53782.3266646281
"876",3163,41726.175275
"877",212,47924.4162945785
"878",1160,45201.7763133644
"879",2472,NA
"880",1647,NA
"881",2465,46817.8561748562
"882",1411,52740.981025731
"883",2055,NA
"884",474,48778.72553203
"885",2464,46817.8561748562
"886",475,48778.72553203
"887",1716,NA
"888",2770,NA
"889",2575,NA
"890",2377,45580.8827515464
"891",1025,NA
"892",1176,NA
"893",2236,NA
"894",2605,NA
"895",2606,NA
"896",2604,NA
"897",2450,NA
"898",3065,NA
"899",2761,NA
"900",741,51716.6442443012
"901",1250,45399.5510701113
"902",1247,45399.5510701113
